code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_yen,baseline_median_yen,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
8283.T,ＰＡＬＴＡＣ,core,卸売業,卸売業,22.711,4.86,943990700,41564500,0.136,0.014,+0.122,6601.0,-0.12
9005.T,東急,leader,陸運業,陸運業,4.816,2.98,773340300,160568050,0.111,0.031,+0.080,1763.0,+1.32
4203.T,住友ベークライト,core,化学,化学,4.670,4.10,822165100,176035550,0.118,0.031,+0.088,6910.0,-3.04
8918.T,(株)ランド,hot,,不明,4.511,-0.42,1245400,276100,0.000,0.019,-0.019,11.0,+0.00
5830.T,いよぎんホールディングス,core,銀行業,銀行業,3.697,1.39,521864700,141167800,0.075,0.028,+0.047,3216.0,-3.37
9401.T,ＴＢＳホールディングス,core,情報・通信業,情報・通信業,3.556,3.60,352863900,99225150,0.051,0.016,+0.035,6154.0,-6.77
2801.T,キッコーマン,leader,食料品,食料品,3.521,2.65,726632650,206365250,0.105,0.036,+0.069,1668.0,-0.21
9507.T,四国電力,core,電気・ガス業,電気・ガス業,3.476,4.10,111036250,31941625,0.016,0.005,+0.011,1492.0,-0.50
6869.T,シスメックス,core,電気機器,電気機器,3.364,2.52,634957750,188723825,0.091,0.034,+0.057,1624.5,+2.82
5108.T,ブリヂストン,leader,ゴム製品,ゴム製品,3.319,3.73,2014058700,606913450,0.290,0.094,+0.196,3712.0,+2.23
7751.T,キヤノン,leader,精密機器,電気機器,3.236,1.86,2184162600,675026100,0.314,0.123,+0.191,4449.0,+3.23
9602.T,東宝,leader,情報・通信業,情報・通信業,3.235,0.67,714926150,220986150,0.103,0.054,+0.049,1433.0,+4.60
9533.T,東邦瓦斯,core,電気・ガス業,電気・ガス業,3.043,3.26,116652950,38330325,0.017,0.006,+0.011,1196.0,-3.47
6923.T,スタンレー電気,core,電気機器,電気機器,2.958,1.92,250692400,84755800,0.036,0.015,+0.021,3484.0,-2.22
8060.T,キヤノンマーケティングジャパン,core,卸売業,卸売業,2.699,2.70,109707000,40647850,0.016,0.006,+0.009,3487.0,-2.16
8439.T,東京センチュリー,core,その他金融業,その他金融業,2.684,2.01,183879500,68512725,0.026,0.011,+0.015,2600.0,+2.24
9616.T,共立メンテナンス,core,サービス業,サービス業,2.631,1.94,463270000,176062900,0.067,0.029,+0.037,3027.0,-4.00
3291.T,飯田グループホールディングス,core,不動産業,不動産業,2.592,3.24,145259300,56038425,0.021,0.008,+0.012,2252.5,-0.33
8572.T,アコム,core,その他金融業,その他金融業,2.561,2.01,67277220,26265785,0.010,0.004,+0.005,481.2,-0.89
5713.T,住友金属鉱山,leader,非鉄金属,非鉄金属,2.542,2.01,2970171400,1168638750,0.427,0.184,+0.244,6721.0,-9.20
7867.T,タカラトミー,core,その他製品,その他製品,2.448,0.73,260703700,106517050,0.037,0.022,+0.016,3535.0,+8.24
9502.T,中部電力,leader,電気・ガス業,電気・ガス業,2.387,1.98,1715966050,718737450,0.247,0.114,+0.133,2838.5,-11.68
6448.T,ブラザー工業,core,電気機器,電気機器,2.345,1.94,299278100,127630850,0.043,0.021,+0.022,3793.0,+3.01
5334.T,日本特殊陶業,core,ガラス・土石製品,ガラス・土石製品,2.338,1.00,1308697800,559704250,0.188,0.100,+0.088,9305.0,-11.25
9627.T,アインホールディングス,core,小売業,小売業,2.329,1.75,86042000,36951500,0.012,0.006,+0.006,5856.0,+1.88
278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),hot,,不明,2.319,0.24,2982022000,1286088500,0.429,0.320,+0.109,13310.0,+46.59
8591.T,オリックス,leader,その他金融業,その他金融業,2.308,2.18,1990515700,862558100,0.286,0.137,+0.149,6165.0,-2.97
6383.T,ダイフク,core,機械,機械,2.300,1.64,1001096200,435238450,0.144,0.072,+0.072,6170.0,-7.25
7550.T,ゼンショーホールディングス,core,小売業,小売業,2.287,1.24,722981100,316183500,0.104,0.052,+0.052,9338.0,+3.87
6902.T,デンソー,leader,自動車部品,輸送用機器,2.240,2.30,1202492100,536766675,0.173,0.081,+0.092,1956.0,-1.16
4732.T,ユー・エス・エス,core,サービス業,サービス業,2.216,0.77,243690600,109974625,0.035,0.019,+0.016,2006.5,+1.49
9504.T,中国電力,core,電気・ガス業,電気・ガス業,2.216,1.40,142672440,64386770,0.021,0.011,+0.010,924.2,-1.47
9143.T,ＳＧホールディングス,core,陸運業,陸運業,2.211,1.20,162624500,73556225,0.023,0.013,+0.011,1614.0,+0.50
3276.T,(株)ＪＰＭＣ,hot,,不明,2.204,0.07,36106700,16384300,0.005,0.004,+0.001,1792.0,+27.91
8418.T,山口フィナンシャルグループ,core,銀行業,銀行業,2.182,1.03,208327750,95479150,0.030,0.017,+0.013,2900.5,-4.34
4540.T,ツムラ,core,医薬品,医薬品,2.179,1.21,131829900,60499100,0.019,0.010,+0.009,3826.0,+0.60
5901.T,東洋製罐グループホールディングス,core,金属製品,金属製品,2.158,1.18,78683600,36464400,0.011,0.006,+0.005,4024.0,-2.66
6753.T,シャープ,leader,電気機器,電気機器,2.130,1.85,211575679,99338635,0.030,0.016,+0.015,626.1,-3.19
6857.T,アドバンテスト,hot,半導体検査装置(テスタ),半導体,2.116,1.24,35066226500,16573761500,5.044,2.757,+2.287,27080.0,-5.30
