code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
EA,Electronic Arts,leader,Interactive Home Entertainment,コミュニケーション・サービス,52.677,31.82,1681077465,31912910,2.295,0.149,+2.146,209.8,+0.34
TMHC,Taylor Morrison Home Corporatio,hot,,不明,28.095,8.13,119133029,4240358,0.163,0.011,+0.152,72.4,-0.01
GEN,Gen Digital,core,Systems Software,情報技術,17.936,14.70,85914660,4790110,0.117,0.019,+0.099,28.1,+3.50
WRB,W. R. Berkley Corporation,core,Property & Casualty Insurance,金融,16.653,15.47,81915849,4918971,0.112,0.017,+0.095,72.1,-5.29
VTRS,Viatris,core,Pharmaceuticals,ヘルスケア,14.295,11.07,99788877,6980516,0.136,0.026,+0.110,16.3,-8.21
FRT,Federal Realty Investment Trust,core,Retail REITs,不動産,13.792,12.48,64893252,4705135,0.089,0.016,+0.073,117.9,-7.75
Z,"Zillow Group, Inc.",hot,,不明,13.531,8.34,85086375,6288363,0.116,0.026,+0.090,33.4,+3.80
NSA,National Storage Affiliates Tru,hot,,不明,13.492,23.14,125876251,9329715,0.172,0.006,+0.166,43.4,-1.88
STEP,StepStone Group Inc.,hot,,不明,13.437,6.88,30577506,2275647,0.042,0.010,+0.032,50.3,+12.20
HONA,Honeywell Aerospace,leader,Aerospace & Defense,資本財,12.195,2.84,320830180,26308795,0.438,0.145,+0.293,156.8,-25.64
IOVA,"Iovance Biotherapeutics, Inc.",hot,,不明,11.628,2.46,42358104,3642638,0.058,0.020,+0.038,6.2,+26.12
INVH,Invitation Homes,core,Single-Family Residential REITs,不動産,11.331,7.17,61754040,5449954,0.084,0.021,+0.064,30.4,+1.49
COR,Cencora,core,Health Care Distributors,ヘルスケア,10.912,11.35,248609374,22783041,0.339,0.071,+0.268,325.3,+3.18
RELY,"Remitly Global, Inc.",hot,,不明,10.870,5.09,28128824,2587756,0.038,0.011,+0.027,26.0,+14.07
TTD,Trade Desk (The),core,Advertising,コミュニケーション・サービス,10.583,5.69,137623479,13004218,0.188,0.058,+0.130,17.7,-2.64
D,Dominion Energy,core,Multi-Utilities,公益事業,10.550,7.28,102895403,9753029,0.140,0.039,+0.101,66.8,-5.65
ROAD,"Construction Partners, Inc.",hot,,不明,10.236,8.30,36617518,3577307,0.050,0.013,+0.037,100.0,-4.80
ZTS,Zoetis,core,Pharmaceuticals,ヘルスケア,10.173,6.19,236830261,23280560,0.323,0.094,+0.230,77.3,-0.62
MD,"Pediatrix Medical Group, Inc.",hot,,不明,10.129,3.74,7172792,708163,0.010,0.003,+0.006,26.5,+0.19
U,Unity Software Inc.,hot,,不明,10.119,3.57,223657864,22101723,0.305,0.096,+0.209,40.8,+33.66
TPL,Texas Pacific Land Corporation,core,Oil & Gas Exploration & Production,エネルギー,9.711,7.64,57489619,5920213,0.078,0.021,+0.057,356.5,-9.50
CRH,CRH plc,core,Construction Materials,素材,9.595,9.07,202850714,21141845,0.277,0.072,+0.204,97.7,-5.64
FOXA,Fox Corporation (Class A),core,Broadcasting,コミュニケーション・サービス,9.309,6.38,105585295,11342468,0.144,0.044,+0.100,61.8,+8.55
NWSA,News Corp (Class A),core,Publishing,コミュニケーション・サービス,8.991,3.19,38496634,4281542,0.053,0.018,+0.034,29.7,+8.01
PTC,PTC Inc.,core,Application Software,情報技術,8.979,5.39,98695143,10991961,0.135,0.042,+0.092,147.7,+15.39
BBY,Best Buy,core,Computer & Electronics Retail,一般消費財,8.787,6.83,107574898,12242143,0.147,0.044,+0.103,80.0,-10.26
RAPP,"Rapport Therapeutics, Inc.",hot,,不明,8.577,5.49,4741851,552854,0.006,0.002,+0.005,46.4,+8.19
WRBY,Warby Parker Inc.,hot,,不明,8.574,4.78,29493155,3439741,0.040,0.013,+0.027,27.0,+7.01
IRM,Iron Mountain,core,Other Specialized REITs,不動産,8.563,5.31,90033409,10514395,0.123,0.038,+0.085,122.0,-3.25
IFF,International Flavors & Fragrances,core,Specialty Chemicals,素材,8.523,5.06,52937482,6211292,0.072,0.023,+0.049,84.5,+9.06
XYZ,"Block, Inc.",core,Transaction & Payment Processing Services,金融,8.418,5.21,169702735,20159763,0.232,0.078,+0.153,79.1,-3.48
MELI,"Mercado Libre, Inc",leader,,不明,8.322,4.87,313656791,37689789,0.428,0.151,+0.277,1830.0,-0.78
FOX,Fox Corporation (Class B),core,Broadcasting,コミュニケーション・サービス,8.290,5.86,20138401,2429377,0.027,0.008,+0.019,55.4,+7.70
PTGX,"Protagonist Therapeutics, Inc.",hot,,不明,8.142,8.03,26521419,3257388,0.036,0.010,+0.026,146.3,+7.69
COMP,"Compass, Inc.",hot,,不明,8.101,3.56,50109784,6186000,0.068,0.027,+0.041,12.6,+5.75
L,Loews Corporation,core,Multi-line Insurance,金融,7.825,3.65,24103457,3080385,0.033,0.012,+0.021,116.0,-2.32
ADPT,Adaptive Biotechnologies Corpor,hot,,不明,7.729,3.99,21396619,2768311,0.029,0.011,+0.018,23.6,+3.65
TTWO,Take-Two Interactive,leader,Interactive Home Entertainment,コミュニケーション・サービス,7.709,6.35,179738015,23316612,0.245,0.084,+0.161,232.7,-5.67
DASH,DoorDash,leader,Specialized Consumer Services,一般消費財,7.598,5.02,291205264,38327648,0.398,0.135,+0.262,213.3,+13.14
CB,Chubb Limited,core,Property & Casualty Insurance,金融,7.544,6.61,186289381,24694995,0.254,0.082,+0.172,354.1,-2.19
SOLV,Solventum,core,Health Care Technology,ヘルスケア,7.475,5.14,45499288,6086976,0.062,0.022,+0.040,83.1,-0.08
SION,"Sionna Therapeutics, Inc.",hot,,不明,7.474,4.29,9051602,1211009,0.012,0.004,+0.008,49.5,+8.96
PH,Parker Hannifin,core,Industrial Machinery & Supplies & Components,資本財,7.386,4.55,238137923,32241246,0.325,0.120,+0.206,1069.6,+8.15
GILD,Gilead Sciences,leader,Biotechnology,ヘルスケア,7.319,4.61,300065580,40996370,0.410,0.152,+0.257,130.9,-1.61
NWS,News Corp (Class B),core,Publishing,コミュニケーション・サービス,7.205,3.53,12261347,1701688,0.017,0.006,+0.010,33.9,+8.10
AKAM,Akamai Technologies,core,Internet Services & Infrastructure,情報技術,7.063,5.68,136370201,19308517,0.186,0.064,+0.122,118.6,+6.65
EXPE,Expedia Group,core,"Hotels, Resorts & Cruise Lines",一般消費財,7.001,4.71,194196357,27740348,0.265,0.097,+0.168,306.4,+9.00
JKHY,Jack Henry & Associates,core,Transaction & Payment Processing Services,金融,6.941,6.03,41343543,5956746,0.056,0.019,+0.037,157.0,+1.39
ED,Consolidated Edison,core,Multi-Utilities,公益事業,6.939,5.34,62864747,9059423,0.086,0.032,+0.054,108.8,-3.23
FLYW,Flywire Corporation - Voting,hot,,不明,6.896,2.97,13470411,1953393,0.018,0.008,+0.011,18.2,+11.83
CRL,Charles River Laboratories,core,Life Sciences Tools & Services,ヘルスケア,6.890,3.48,65254048,9471223,0.089,0.038,+0.051,265.3,+11.96
AXON,Axon Enterprise,leader,Aerospace & Defense,資本財,6.861,5.23,180382818,26291096,0.246,0.090,+0.156,522.4,-1.95
URI,United Rentals,core,Trading Companies & Distributors,資本財,6.761,5.57,173807313,25706587,0.237,0.082,+0.155,1163.3,+3.46
FISV,Fiserv,core,Transaction & Payment Processing Services,金融,6.716,1.55,126741285,18871794,0.173,0.084,+0.089,54.1,+2.57
NI,NiSource,core,Multi-Utilities,公益事業,6.648,3.39,69608411,10470166,0.095,0.042,+0.053,43.4,-5.99
FDX,FedEx,core,Air Freight & Logistics,資本財,6.571,4.18,114631313,17445301,0.157,0.063,+0.093,315.9,+1.79
CWK,Cushman & Wakefield Ltd.,hot,,不明,6.451,2.54,6500966,1007781,0.009,0.004,+0.005,13.7,+3.44
TSCO,Tractor Supply,core,Other Specialty Retail,一般消費財,6.377,4.58,96626975,15151940,0.132,0.051,+0.081,34.1,+6.33
PNR,Pentair,core,Industrial Machinery & Supplies & Components,資本財,6.341,3.59,54943462,8664745,0.075,0.033,+0.042,69.9,+9.00
ORKA,"Oruka Therapeutics, Inc.",hot,,不明,6.328,3.72,20825389,3290971,0.028,0.012,+0.016,98.4,+9.86
DDOG,Datadog,leader,Application Software,情報技術,6.290,3.27,476165389,75697156,0.650,0.260,+0.390,229.3,-8.80
RL,Ralph Lauren Corporation,core,"Apparel, Accessories & Luxury Goods",一般消費財,6.286,3.56,71638921,11397358,0.098,0.044,+0.054,396.1,+3.02
SUPN,"Supernus Pharmaceuticals, Inc.",hot,,不明,6.246,1.20,12894808,2064539,0.018,0.012,+0.006,46.8,-2.42
REG,Regency Centers,core,Retail REITs,不動産,6.234,3.96,33922295,5441445,0.046,0.019,+0.027,76.9,-7.28
ZG,"Zillow Group, Inc.",hot,,不明,6.229,3.09,18253616,2930530,0.025,0.011,+0.014,33.8,+3.96
WELL,Welltower,core,Health Care REITs,不動産,6.226,3.84,198471151,31879176,0.271,0.111,+0.160,236.1,-6.17
LDOS,Leidos,core,Diversified Support Services,資本財,6.151,3.38,55421367,9009789,0.076,0.032,+0.044,135.2,+16.03
MCHP,Microchip Technology,leader,Semiconductors,半導体,6.144,4.01,232848531,37896602,0.318,0.135,+0.183,74.4,-3.70
ALB,Albemarle Corporation,core,Specialty Chemicals,素材,6.101,4.49,80286171,13159763,0.110,0.046,+0.064,125.4,+9.12
TRGP,Targa Resources,core,Oil & Gas Storage & Transportation,エネルギー,6.092,5.18,83301356,13674659,0.114,0.045,+0.069,268.4,+0.12
MNST,Monster Beverage,leader,Soft Drinks & Non-alcoholic Beverages,生活必需品,6.088,5.69,141824056,23294475,0.194,0.075,+0.119,94.2,-3.12
TPR,"Tapestry, Inc.",core,"Apparel, Accessories & Luxury Goods",一般消費財,6.052,3.29,68179792,11265925,0.093,0.040,+0.053,161.9,+8.87
MSI,Motorola Solutions,core,Communications Equipment,情報技術,6.039,3.54,119456277,19781958,0.163,0.068,+0.095,474.1,+11.14
TALO,"Talos Energy, Inc.",hot,,不明,5.971,2.53,7685594,1287087,0.010,0.005,+0.005,14.1,-1.57
APA,APA Corporation,core,Oil & Gas Exploration & Production,エネルギー,5.929,3.88,52263534,8815086,0.071,0.032,+0.040,36.5,+5.31
BDX,Becton Dickinson,core,Health Care Equipment,ヘルスケア,5.898,4.17,90306152,15311058,0.123,0.055,+0.068,177.1,+9.28
WSM,"Williams-Sonoma, Inc.",core,Homefurnishing Retail,一般消費財,5.890,3.36,53691655,9115892,0.073,0.032,+0.041,247.0,+3.96
BHVN,Biohaven Ltd.,hot,,不明,5.820,2.84,6181228,1062018,0.008,0.004,+0.004,14.4,+1.09
YUM,Yum! Brands,core,Restaurants,一般消費財,5.685,3.26,91532143,16100288,0.125,0.059,+0.066,152.2,+1.77
GPN,Global Payments,core,Transaction & Payment Processing Services,金融,5.678,4.16,82188924,14475400,0.112,0.046,+0.066,87.7,+2.94
OKE,Oneok,core,Oil & Gas Storage & Transportation,エネルギー,5.677,3.84,87568067,15426267,0.120,0.055,+0.064,87.9,-1.65
LYB,LyondellBasell,core,Specialty Chemicals,素材,5.590,3.59,70077400,12536552,0.096,0.044,+0.052,61.4,+3.65
CDW,CDW Corporation,core,Technology Distributors,情報技術,5.583,1.57,69381229,12427142,0.095,0.054,+0.041,142.0,+0.51
RF,Regions Financial Corporation,core,Regional Banks,金融,5.576,4.65,65907471,11820417,0.090,0.041,+0.049,31.4,+1.72
TEAM,Atlassian Corporation,hot,,不明,5.548,4.19,134810707,24299318,0.184,0.082,+0.102,110.3,+11.33
STE,Steris,core,Health Care Equipment,ヘルスケア,5.540,4.39,51242784,9250346,0.070,0.031,+0.039,231.6,+4.10
AIG,American International Group,core,Multi-line Insurance,金融,5.500,3.94,47465120,8629411,0.065,0.029,+0.036,80.0,+0.28
KDP,Keurig Dr Pepper,leader,Soft Drinks & Non-alcoholic Beverages,生活必需品,5.496,3.56,95452027,17368910,0.130,0.063,+0.067,30.4,-1.59
HWM,Howmet Aerospace,core,Aerospace & Defense,資本財,5.489,3.46,135614317,24705768,0.185,0.089,+0.097,289.8,+0.84
KWR,Quaker Houghton,hot,,不明,5.486,3.04,7736340,1410316,0.011,0.004,+0.006,167.3,+8.77
HST,Host Hotels & Resorts,core,Hotel & Resort REITs,不動産,5.485,3.46,58743919,10709530,0.080,0.038,+0.042,23.4,-6.49
AEE,Ameren,core,Multi-Utilities,公益事業,5.454,2.76,37985207,6964933,0.052,0.026,+0.026,108.3,-3.81
HON,Honeywell Technologies,leader,Industrial Conglomerates,資本財,5.453,4.92,168845365,30961043,0.231,0.101,+0.129,240.8,-3.57
AIZ,Assurant,core,Multi-line Insurance,金融,5.413,4.10,34333357,6342460,0.047,0.021,+0.026,296.6,+7.12
BG,Bunge Global,core,Agricultural Products & Services,生活必需品,5.412,2.81,45788295,8460028,0.063,0.031,+0.031,109.0,-7.36
CVS,CVS Health,core,Health Care Services,ヘルスケア,5.325,2.24,183842909,34524820,0.251,0.135,+0.116,96.2,-10.58
MBX,"MBX Biosciences, Inc.",hot,,不明,5.289,3.75,9044993,1710258,0.012,0.006,+0.007,67.1,+9.41
WY,Weyerhaeuser,core,Timber REITs,不動産,5.280,3.97,36812369,6972014,0.050,0.023,+0.027,25.4,+4.61
DOC,Healthpeak Properties,core,Health Care REITs,不動産,5.275,3.09,31763892,6021560,0.043,0.021,+0.022,21.1,-6.89
PNW,Pinnacle West Capital,core,Multi-Utilities,公益事業,5.264,3.01,29614237,5625579,0.040,0.021,+0.020,100.8,-5.13
ABNB,Airbnb,leader,"Hotels, Resorts & Cruise Lines",一般消費財,5.259,3.87,129812221,24684934,0.177,0.086,+0.091,151.7,+1.73
MAA,Mid-America Apartment Communities,core,Multi-Family Residential REITs,不動産,5.240,2.34,30048916,5735029,0.041,0.023,+0.019,133.6,-0.88
SRE,Sempra,core,Multi-Utilities,公益事業,5.217,2.65,69742853,13369650,0.095,0.049,+0.046,84.3,-7.77
AXP,American Express,core,Consumer Finance,金融,5.159,4.86,187890519,36417648,0.257,0.118,+0.138,342.5,+2.30
TAP,Molson Coors Beverage Company,core,Brewers,生活必需品,5.147,3.36,29999928,5828084,0.041,0.021,+0.020,42.4,+0.78
INCY,Incyte,core,Biotechnology,ヘルスケア,5.147,2.34,64197295,12472763,0.088,0.050,+0.037,118.4,-1.85
SYY,Sysco,core,Food Distributors,生活必需品,5.144,1.90,74622221,14505454,0.102,0.060,+0.041,84.3,-0.91
CPAY,Corpay,core,Transaction & Payment Processing Services,金融,5.137,3.21,59751769,11631093,0.082,0.040,+0.041,398.7,+3.71
BRK-B,Berkshire Hathaway,core,Multi-Sector Holdings,金融,5.115,3.22,443249859,86652729,0.605,0.305,+0.300,525.0,+4.60
KHC,Kraft Heinz,leader,Packaged Foods & Meats,生活必需品,5.083,3.34,95098428,18709574,0.130,0.069,+0.061,25.0,-7.20
